model_a,model_b,auc_a,auc_b,delta_obs,delta_auc,ci_low,ci_high,p_value,n_patients,n_boot_valid,warning
CNN,XGB,0.6025641025641025,0.657051282051282,-0.054487179487179516,-0.048438461538461534,-0.5389423076923077,0.42307692307692296,0.8232,55,5000,"Extreme imbalance (52 pos, 3 neg): using stratified bootstrap"
CNN,RF,0.6025641025641025,0.5448717948717948,0.05769230769230771,0.06271666666666667,-0.3846153846153846,0.5,0.7832,55,5000,"Extreme imbalance (52 pos, 3 neg): using stratified bootstrap"
XGB,RF,0.657051282051282,0.5448717948717948,0.11217948717948723,0.1111551282051282,0.0288461538461538,0.19871794871794873,0.012,55,5000,"Extreme imbalance (52 pos, 3 neg): using stratified bootstrap"
